,Country Name,Country Code,Indicator Name,Indicator Code,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
980,Australia,AUS,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,7.7,,,,7.5,,,,7.3,,,,,,7.6,,,,,,7.4,,7.4,7.7,,,,7.2,,7.3,,,,6.8,,,,
981,Australia,AUS,Income share held by second 20%,SI.DST.02ND.20,,,,,,,,12.9,,,,12.6,,,,12.4,,,,,,12.5,,,,,,12.1,,12.1,12.2,,,,11.6,,11.8,,,,12.0,,,,
982,Australia,AUS,Income share held by third 20%,SI.DST.03RD.20,,,,,,,,16.9,,,,16.6,,,,16.6,,,,,,16.7,,,,,,16.5,,16.5,16.4,,,,15.9,,16.1,,,,16.1,,,,
983,Australia,AUS,Number of poor at $1.90 a day (2011 PPP) (millions),SI.POV.NOP1,,,,,,,,0.1,,,,0.2,,,,0.1,,,,,,0.1,,,,,,0.1,,0.2,0.1,,,,0.1,,0.1,,,,0.2,,,,
984,Australia,AUS,Number of poor at $3.20 a day (2011 PPP) (millions),SI.POV.LMIC.NO,,,,,,,,0.2,,,,0.2,,,,0.2,,,,,,0.2,,,,,,0.2,,0.2,0.1,,,,0.1,,0.1,,,,0.2,,,,
985,Australia,AUS,Number of poor at $5.50 a day (2011 PPP) (millions),SI.POV.UMIC.NO,,,,,,,,0.3,,,,0.3,,,,0.3,,,,,,0.3,,,,,,0.3,,0.3,0.2,,,,0.2,,0.2,,,,0.3,,,,
986,Australia,AUS,"Population, total",SP.POP.TOTL,13723000.0,13893000.0,14033000.0,14192000.0,14358000.0,14514000.0,14692000.0,14927000.0,15178000.0,15369000.0,15544000.0,15758000.0,16018400.0,16263900.0,16532200.0,16814400.0,17065100.0,17284000.0,17495000.0,17667000.0,17855000.0,18072000.0,18311000.0,18517000.0,18711000.0,18926000.0,19153000.0,19413000.0,19651400.0,19895400.0,20127400.0,20394800.0,20697900.0,20827600.0,21249200.0,21691700.0,22031750.0,22340024.0,22742475.0,23145901.0,23504138.0,23850784.0,24210809.0,24598933.0,
987,Australia,AUS,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,0.5,,,,0.6,,,,0.5,,,,,,0.6,,,,,,0.6,,0.8,0.4,,,,0.3,,0.3,,,,0.5,,,,
988,Australia,AUS,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,0.7,,,,0.8,,,,0.6,,,,,,0.8,,,,,,0.7,,0.9,0.6,,,,0.4,,0.4,,,,0.6,,,,
989,Australia,AUS,Poverty gap at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC.GP,,,,,,,,1.0,,,,1.1,,,,0.9,,,,,,1.0,,,,,,0.9,,1.1,0.7,,,,0.5,,0.5,,,,0.8,,,,
992,Australia,AUS,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,1.0,,,,1.0,,,,0.7,,,,,,0.7,,,,,,0.7,,1.0,0.7,,,,0.5,,0.5,,,,0.7,,,,
993,Australia,AUS,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,1.2,,,,1.2,,,,1.0,,,,,,1.2,,,,,,1.0,,1.2,0.7,,,,0.5,,0.5,,,,1.0,,,,
994,Australia,AUS,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,,,,,,,,1.7,,,,1.7,,,,1.5,,,,,,1.7,,,,,,1.5,,1.5,1.0,,,,0.7,,0.7,,,,1.2,,,,
1016,Austria,AUT,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.5,29.8,28.7,29.6,30.6,30.4,31.5,30.3,30.8,30.5,30.8,30.5,30.5,,,
1020,Austria,AUT,Income share held by fourth 20%,SI.DST.04TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,22.5,22.8,22.6,22.9,22.6,22.6,22.9,23.0,23.0,22.7,22.7,22.9,,,
1021,Austria,AUT,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.4,23.8,22.8,23.7,23.8,24.1,24.7,23.5,23.7,23.4,24.2,24.0,23.8,,,
1022,Austria,AUT,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,38.5,37.5,38.3,38.7,38.6,39.3,38.4,38.7,38.4,38.9,38.6,38.4,,,
1023,Austria,AUT,Income share held by lowest 10%,SI.DST.FRST.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.4,3.5,3.4,3.1,3.0,2.8,3.1,2.9,2.9,3.1,3.1,3.0,,,
1024,Austria,AUT,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,8.6,8.8,8.6,8.0,8.0,7.7,8.1,7.8,7.8,8.1,8.0,7.9,,,
1025,Austria,AUT,Income share held by second 20%,SI.DST.02ND.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4,13.2,13.4,13.3,13.1,13.3,13.0,13.2,13.1,13.3,13.1,13.2,13.2,,,
1026,Austria,AUT,Income share held by third 20%,SI.DST.03RD.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.4,17.2,17.5,17.2,17.3,17.5,17.4,17.5,17.4,17.5,17.2,17.5,17.6,,,
1027,Austria,AUT,Number of poor at $1.90 a day (2011 PPP) (millions),SI.POV.NOP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,,,
1028,Austria,AUT,Number of poor at $3.20 a day (2011 PPP) (millions),SI.POV.LMIC.NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,,,
1029,Austria,AUT,Number of poor at $5.50 a day (2011 PPP) (millions),SI.POV.UMIC.NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,,,
1030,Austria,AUT,"Population, total",SP.POP.TOTL,7599038.0,7578903.0,7565525.0,7568430.0,7562305.0,7549425.0,7549433.0,7568710.0,7574140.0,7561910.0,7561434.0,7564985.0,7569794.0,7574586.0,7585317.0,7619567.0,7677850.0,7754891.0,7840709.0,7905633.0,7936118.0,7948278.0,7959017.0,7968041.0,7976789.0,7992324.0,8011566.0,8042293.0,8081957.0,8121423.0,8171966.0,8227829.0,8268641.0,8295487.0,8321496.0,8343323.0,8363404.0,8391643.0,8429991.0,8479823.0,8546356.0,8642699.0,8736668.0,8809212.0,
1031,Austria,AUT,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.0,0.0,0.0,0.2,0.2,0.4,0.4,0.3,0.4,0.1,0.1,0.5,,,
1032,Austria,AUT,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.0,0.1,0.1,0.3,0.3,0.6,0.4,0.4,0.5,0.3,0.2,0.6,,,
1033,Austria,AUT,Poverty gap at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.1,0.2,0.2,0.5,0.5,0.7,0.5,0.6,0.7,0.3,0.3,0.7,,,
1036,Austria,AUT,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.0,0.2,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.2,0.2,0.7,,,
1037,Austria,AUT,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.2,0.2,0.2,0.5,0.5,0.7,0.5,0.5,0.7,0.5,0.2,0.7,,,
1038,Austria,AUT,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.2,0.5,0.5,0.7,1.0,1.0,0.7,1.0,1.0,0.5,0.7,0.9,,,
1192,Belgium,BEL,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.1,30.5,29.3,28.1,29.2,28.4,28.5,28.4,28.1,27.5,27.7,28.1,27.7,,,
1196,Belgium,BEL,Income share held by fourth 20%,SI.DST.04TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7,21.9,22.2,22.7,22.3,22.7,22.7,22.5,22.7,22.8,23.0,22.8,22.7,,,
1197,Belgium,BEL,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,25.1,23.9,22.4,23.5,22.7,22.7,22.7,22.3,21.9,21.8,22.4,22.2,,,
1198,Belgium,BEL,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,39.1,38.2,36.9,38.0,37.2,37.2,37.2,36.8,36.4,36.4,36.9,36.5,,,
1199,Belgium,BEL,Income share held by lowest 10%,SI.DST.FRST.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,3.4,3.4,3.4,3.4,3.4,3.2,3.3,3.3,3.4,3.3,3.4,3.4,,,
1200,Belgium,BEL,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,8.4,8.7,8.7,8.6,8.7,8.5,8.6,8.6,8.7,8.6,8.6,8.6,,,
1201,Belgium,BEL,Income share held by second 20%,SI.DST.02ND.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9,13.4,13.6,13.9,13.6,13.9,13.9,13.9,14.0,14.1,14.1,13.9,14.0,,,
1202,Belgium,BEL,Income share held by third 20%,SI.DST.03RD.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9,17.1,17.3,17.7,17.4,17.6,17.7,17.8,18.0,18.0,18.0,17.8,18.1,,,
1203,Belgium,BEL,Number of poor at $1.90 a day (2011 PPP) (millions),SI.POV.NOP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1204,Belgium,BEL,Number of poor at $3.20 a day (2011 PPP) (millions),SI.POV.LMIC.NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
1205,Belgium,BEL,Number of poor at $5.50 a day (2011 PPP) (millions),SI.POV.UMIC.NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,,,
1206,Belgium,BEL,"Population, total",SP.POP.TOTL,9772419.0,9800700.0,9818227.0,9830358.0,9839534.0,9848382.0,9859242.0,9858982.0,9856303.0,9855520.0,9855372.0,9858308.0,9861823.0,9870234.0,9901664.0,9937697.0,9967379.0,10004486.0,10045158.0,10084475.0,10115603.0,10136811.0,10156637.0,10181245.0,10203008.0,10226419.0,10251250.0,10286570.0,10332785.0,10376133.0,10421137.0,10478617.0,10547958.0,10625700.0,10709973.0,10796493.0,10895586.0,11047744.0,11128246.0,11182817.0,11209057.0,11274196.0,11331422.0,11372068.0,
1207,Belgium,BEL,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,,,
1208,Belgium,BEL,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.0,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.0,0.1,,,
1209,Belgium,BEL,Poverty gap at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,0.1,0.3,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,,,
1212,Belgium,BEL,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,,,
1213,Belgium,BEL,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,
1214,Belgium,BEL,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.2,0.5,0.5,0.2,0.2,0.2,0.5,0.5,0.5,0.5,0.2,0.2,,,
1412,Bosnia and Herzegovina,BIH,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,34.0,,,33.1,,,,33.0,,,,,,,
1416,Bosnia and Herzegovina,BIH,Income share held by fourth 20%,SI.DST.04TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,,,22.4,,,23.0,,,,22.9,,,,,,,
1417,Bosnia and Herzegovina,BIH,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.8,,,26.4,,,25.1,,,,25.1,,,,,,,
1418,Bosnia and Herzegovina,BIH,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.8,,,41.8,,,40.7,,,,40.7,,,,,,,
1419,Bosnia and Herzegovina,BIH,Income share held by lowest 10%,SI.DST.FRST.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6,,,2.9,,,3.0,,,,2.9,,,,,,,
1420,Bosnia and Herzegovina,BIH,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,7.4,,,7.5,,,,7.5,,,,,,,
1421,Bosnia and Herzegovina,BIH,Income share held by second 20%,SI.DST.02ND.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.3,,,12.1,,,12.2,,,,12.3,,,,,,,
1422,Bosnia and Herzegovina,BIH,Income share held by third 20%,SI.DST.03RD.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,16.3,,,16.6,,,,16.7,,,,,,,
1423,Bosnia and Herzegovina,BIH,Number of poor at $1.90 a day (2011 PPP) (millions),SI.POV.NOP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,
1424,Bosnia and Herzegovina,BIH,Number of poor at $3.20 a day (2011 PPP) (millions),SI.POV.LMIC.NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,,,
1425,Bosnia and Herzegovina,BIH,Number of poor at $5.50 a day (2011 PPP) (millions),SI.POV.UMIC.NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.2,,,0.1,,,,0.1,,,,,,,
1426,Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3942223.0,3985103.0,4025265.0,4063191.0,4100350.0,4138819.0,4179855.0,4222511.0,4265310.0,4308106.0,4350746.0,4392130.0,4435504.0,4478519.0,4508056.0,4506653.0,4463422.0,4371603.0,4239154.0,4087999.0,3948816.0,3843712.0,3780378.0,3752431.0,3750485.0,3759118.0,3766706.0,3771284.0,3775807.0,3779247.0,3781287.0,3781530.0,3779468.0,3774000.0,3763599.0,3746561.0,3722084.0,3688865.0,3648200.0,3604999.0,3566002.0,3535961.0,3516816.0,3507017.0,
1427,Bosnia and Herzegovina,BIH,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,0.1,,,0.0,,,,0.0,,,,,,,
1428,Bosnia and Herzegovina,BIH,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.2,,,0.1,,,,0.1,,,,,,,
1429,Bosnia and Herzegovina,BIH,Poverty gap at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.9,,,0.7,,,,0.9,,,,,,,
1432,Bosnia and Herzegovina,BIH,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.2,,,0.1,,,,0.1,,,,,,,
1433,Bosnia and Herzegovina,BIH,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,0.6,,,0.4,,,,0.8,,,,,,,
1434,Bosnia and Herzegovina,BIH,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.8,,,4.1,,,2.9,,,,3.9,,,,,,,
1435,Bosnia and Herzegovina,BIH,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,,,,17.9,,,,16.9,,,
1436,Bosnia and Herzegovina,BIH,"Poverty headcount ratio at national poverty lines (% of population), including noncomparable values",SI.POV.NAHC.NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.7,,,18.2,,,,17.9,,,,16.9,,,
1500,Brazil,BRA,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,58.0,58.4,59.0,58.4,55.6,58.5,59.7,61.4,63.3,60.5,,53.2,60.1,,59.6,59.9,59.8,59.6,59.0,,58.4,58.1,57.6,56.5,56.3,55.6,54.9,54.0,53.7,,52.9,52.7,52.8,51.5,51.3,53.7,53.3,
1504,Brazil,BRA,Income share held by fourth 20%,SI.DST.04TH.20,,,,,,,,18.4,18.3,18.1,18.1,19.6,18.2,18.1,17.5,16.8,17.9,,20.8,17.5,,17.9,18.2,18.1,17.9,18.0,,18.5,18.4,18.7,18.8,18.7,18.8,19.2,19.3,19.4,,19.5,19.4,19.4,19.7,19.7,19.2,19.5,
