Country Name,Country Code,Indicator Name,Indicator Code,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
East Asia & Pacific,EAS,"Poverty headcount ratio at national poverty lines (% of population), including noncomparable values",SI.POV.NAHC.NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Redistribution component of change in poverty at $1.90 a day (2011 PPP) (% of change),SI.POV.DDAY.RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Redistribution component of change in poverty at $3.20 a day (2011 PPP) (% of change),SI.POV.LMIC.RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Redistribution component of change in poverty at $5.50 a day (2011 PPP) (% of change),SI.POV.UMIC.RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Rural poverty gap at national poverty lines (%),SI.POV.RUGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Rural poverty gap at national poverty lines (%), including noncomparable values",SI.POV.RUGP.NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Rural poverty headcount ratio at national poverty lines (% of rural population), including noncomparable values",SI.POV.RUHC.NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Survey mean consumption or income per capita, bottom 40% (2011 PPP $ per day)",SI.SPR.PC40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Survey mean consumption or income per capita, top 10% (2011 PPP $ per day)",SI.SPR.PT10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Survey mean consumption or income per capita, top 60% (2011 PPP $ per day)",SI.SPR.PT60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Urban poverty gap at national poverty lines (%),SI.POV.URGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Urban poverty gap at national poverty lines (%), including noncomparable values",SI.POV.URGP.NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,"Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values",SI.POV.URHC.NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Annualized growth in per capita real survey mean consumption or income, top 10% (%)",SI.SPR.PT10.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Annualized growth in per capita real survey mean consumption or income, top 60% (%)",SI.SPR.PT60.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Annualized growth in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Growth component of change in poverty at $1.90 a day (2011 PPP) (% of change),SI.POV.DDAY.GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Growth component of change in poverty at $3.20 a day (2011 PPP) (% of change),SI.POV.LMIC.GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Growth component of change in poverty at $5.50 a day (2011 PPP) (% of change),SI.POV.UMIC.GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Income share held by fourth 20%,SI.DST.04TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Income share held by lowest 10%,SI.DST.FRST.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Income share held by second 20%,SI.DST.02ND.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Income share held by third 20%,SI.DST.03RD.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Number of poor at $1.90 a day (2011 PPP) (millions),SI.POV.NOP1,,,,,,,,,,,,,,,,,,,,24.5,,,34.2,,,37,,,28,,,22.8,,,13.2,,11.4,9.8,8.9,7.6,,7.1,,,
Europe & Central Asia,ECS,Number of poor at $3.20 a day (2011 PPP) (millions),SI.POV.LMIC.NO,,,,,,,,,,,,,,,,,,,,72.6,,,91.4,,,99.9,,,71.6,,,55.3,,,35.4,,33.4,31.5,30,27.5,,26.2,,,
Europe & Central Asia,ECS,Number of poor at $5.50 a day (2011 PPP) (millions),SI.POV.UMIC.NO,,,,,,,,,,,,,,,,,,,,170.9,,,195.5,,,210.6,,,164.3,,,124.4,,,80.9,,78.1,73.6,71.9,67.6,,68.1,,,
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,761701324,767332578,772838318,778094845,783298994,788525199,793937090,799215272,803972967,808524728,813281381,818146882,823155058,828213790,833315236,838462813,842848473,846178276,849656745,852762016,854723055,856352860,857652705,859112733,860236341,861380108,862304086,863615632,865196877,867457664,870030756,872661616,875343235,878465990,881965815,885591814,889016507,891098854,894679968,898881448,903123160,907426233,911686319,915545801,
Europe & Central Asia,ECS,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,1.6,,,2.4,,,2.4,,,1.7,,,1.4,,,0.8,,0.7,0.6,0.5,0.4,,0.4,,,
Europe & Central Asia,ECS,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,5.1,,,6.7,,,7.3,,,5.2,,,4.2,,,2.5,,2.3,2.1,1.9,1.7,,1.6,,,
Europe & Central Asia,ECS,Poverty gap at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC.GP,,,,,,,,,,,,,,,,,,,,13.8,,,16.8,,,18.2,,,13.5,,,10.3,,,6.5,,6.1,5.7,5.5,5.1,,4.9,,,
Europe & Central Asia,ECS,Poverty gap at national poverty lines (%),SI.POV.NAGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Poverty gap at national poverty lines (%), including noncomparable values",SI.POV.NAGP.NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,5.2,,,7.3,,,7.9,,,6,,,4.9,,,2.8,,2.4,2.1,1.9,1.6,,1.5,,,
Europe & Central Asia,ECS,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,,,,,,,,,,,,15.5,,,19.4,,,21.2,,,15.2,,,11.8,,,7.5,,7,6.6,6.3,5.7,,5.4,,,
Europe & Central Asia,ECS,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,,,,,,,,,,,,,,,,,,,,36.4,,,41.6,,,44.7,,,35,,,26.5,,,17.1,,16.4,15.4,15,14,,14,,,
Europe & Central Asia,ECS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Poverty headcount ratio at national poverty lines (% of population), including noncomparable values",SI.POV.NAHC.NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Redistribution component of change in poverty at $1.90 a day (2011 PPP) (% of change),SI.POV.DDAY.RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Redistribution component of change in poverty at $3.20 a day (2011 PPP) (% of change),SI.POV.LMIC.RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Redistribution component of change in poverty at $5.50 a day (2011 PPP) (% of change),SI.POV.UMIC.RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Rural poverty gap at national poverty lines (%),SI.POV.RUGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Rural poverty gap at national poverty lines (%), including noncomparable values",SI.POV.RUGP.NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Rural poverty headcount ratio at national poverty lines (% of rural population), including noncomparable values",SI.POV.RUHC.NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Survey mean consumption or income per capita, bottom 40% (2011 PPP $ per day)",SI.SPR.PC40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Survey mean consumption or income per capita, top 10% (2011 PPP $ per day)",SI.SPR.PT10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Survey mean consumption or income per capita, top 60% (2011 PPP $ per day)",SI.SPR.PT60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Survey mean consumption or income per capita, total population (2011 PPP $ per day)",SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Urban poverty gap at national poverty lines (%),SI.POV.URGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Urban poverty gap at national poverty lines (%), including noncomparable values",SI.POV.URGP.NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Urban poverty headcount ratio at national poverty lines (% of urban population),SI.POV.URHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,"Urban poverty headcount ratio at national poverty lines (% of urban population), including noncomparable values",SI.POV.URHC.NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Annualized growth in per capita real survey mean consumption or income, bottom 40% (%)",SI.SPR.PC40.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Annualized growth in per capita real survey mean consumption or income, top 10% (%)",SI.SPR.PT10.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Annualized growth in per capita real survey mean consumption or income, top 60% (%)",SI.SPR.PT60.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Annualized growth in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,GINI index (World Bank estimate),SI.POV.GINI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Growth component of change in poverty at $1.90 a day (2011 PPP) (% of change),SI.POV.DDAY.GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Growth component of change in poverty at $3.20 a day (2011 PPP) (% of change),SI.POV.LMIC.GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Growth component of change in poverty at $5.50 a day (2011 PPP) (% of change),SI.POV.UMIC.GR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Income share held by fourth 20%,SI.DST.04TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Income share held by highest 10%,SI.DST.10TH.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Income share held by highest 20%,SI.DST.05TH.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Income share held by lowest 10%,SI.DST.FRST.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Income share held by lowest 20%,SI.DST.FRST.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Income share held by second 20%,SI.DST.02ND.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Income share held by third 20%,SI.DST.03RD.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Number of poor at $1.90 a day (2011 PPP) (millions),SI.POV.NOP1,,,,,,,,108.4,,,119.6,,,126.1,,,138.8,,,162.7,,,170.9,,,173.3,,,175,,,172.1,,,165.6,,161.3,162.9,158.4,158.1,,166.1,,,
Fragile and conflict affected situations,FCS,Number of poor at $3.20 a day (2011 PPP) (millions),SI.POV.LMIC.NO,,,,,,,,142.8,,,158.7,,,169.3,,,182.1,,,210.4,,,223.1,,,225.5,,,240.8,,,250.9,,,254,,253.9,259.9,256.6,258.5,,272.3,,,
Fragile and conflict affected situations,FCS,Number of poor at $5.50 a day (2011 PPP) (millions),SI.POV.UMIC.NO,,,,,,,,173,,,190.2,,,204.8,,,223.3,,,249.7,,,267.3,,,277.6,,,301.3,,,323.5,,,339.4,,347.2,355.5,356.9,363.8,,380.5,,,
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,171018004,175837838,180955166,186328587,191851145,197374705,202791782,208084754,213292176,218448678,223607635,228824309,234072288,239375914,244894863,250831755,259301889,266530173,274337650,282512676,290750580,298837493,306691898,314393550,321885559,329495037,337602457,346168747,355076801,364275678,373680882,383230416,392932365,402796842,412832401,423028631,433388814,443918286,454618893,465515402,476608101,487923553,499508468,511336623,
Fragile and conflict affected situations,FCS,Poverty gap at $1.90 a day (2011 PPP) (%),SI.POV.GAPS,,,,,,,,27.5,,,27.9,,,27.5,,,28.5,,,31.1,,,29.6,,,27.5,,,24.8,,,21.5,,,18.3,,16.8,16.2,15.2,14.5,,14.1,,,
Fragile and conflict affected situations,FCS,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,41.1,,,42.2,,,41.7,,,42.3,,,45.6,,,44,,,41.2,,,38.9,,,35.5,,,31.8,,29.7,29.2,28,27.2,,27.1,,,
Fragile and conflict affected situations,FCS,Poverty gap at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC.GP,,,,,,,,55.5,,,57.1,,,56.9,,,57.8,,,61.1,,,59.5,,,56.3,,,55,,,52.6,,,49.2,,46.9,46.6,45.4,44.7,,44.6,,,
Fragile and conflict affected situations,FCS,Poverty gap at national poverty lines (%),SI.POV.NAGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Poverty gap at national poverty lines (%), including noncomparable values",SI.POV.NAGP.NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,,,,,,,,52.1,,,53.5,,,52.7,,,53.5,,,57.6,,,55.7,,,52.6,,,49.3,,,44.9,,,40.1,,37.2,36.7,35.2,34.3,,34.4,,,
Fragile and conflict affected situations,FCS,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,68.6,,,71,,,70.7,,,70.2,,,74.5,,,72.8,,,68.4,,,67.8,,,65.5,,,61.5,,58.6,58.6,57,56.1,,56.4,,,
Fragile and conflict affected situations,FCS,Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),SI.POV.UMIC,,,,,,,,83.1,,,85.1,,,85.6,,,86.1,,,88.4,,,87.2,,,84.2,,,84.8,,,84.4,,,82.2,,80.1,80.1,79.3,78.9,,78.8,,,
Fragile and conflict affected situations,FCS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Poverty headcount ratio at national poverty lines (% of population), including noncomparable values",SI.POV.NAHC.NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Redistribution component of change in poverty at $1.90 a day (2011 PPP) (% of change),SI.POV.DDAY.RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Redistribution component of change in poverty at $3.20 a day (2011 PPP) (% of change),SI.POV.LMIC.RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Redistribution component of change in poverty at $5.50 a day (2011 PPP) (% of change),SI.POV.UMIC.RE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Rural poverty gap at national poverty lines (%),SI.POV.RUGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Rural poverty gap at national poverty lines (%), including noncomparable values",SI.POV.RUGP.NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Rural poverty headcount ratio at national poverty lines (% of rural population),SI.POV.RUHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Rural poverty headcount ratio at national poverty lines (% of rural population), including noncomparable values",SI.POV.RUHC.NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,"Survey mean consumption or income per capita, bottom 40% (2011 PPP $ per day)",SI.SPR.PC40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
